N,종목명,현재가,전일비,등락률,액면가,매출액,자산총계,영업이익
61.0,삼성엔지니어링,28500.0,150.0,-0.52%,5000.0,100543.0,78487.0,7029.0
62.0,KODEX 200,32560.0,125.0,-0.38%,0.0,,,
63.0,코스모신소재,175100.0,2600.0,-1.46%,1000.0,4856.0,4513.0,325.0
64.0,한화에어로스페이스,105100.0,1800.0,-1.68%,5000.0,65396.0,151573.0,3772.0
65.0,LG디스플레이,14630.0,130.0,-0.88%,5000.0,261518.0,356860.0,-20850.0
66.0,두산밥캣,52000.0,600.0,+1.17%,500.0,86219.0,92484.0,10716.0
67.0,한국항공우주,53100.0,900.0,-1.67%,5000.0,27869.0,77724.0,1416.0
68.0,맥쿼리인프라,12560.0,110.0,+0.88%,0.0,,,
69.0,한온시스템,9330.0,120.0,+1.30%,100.0,86277.0,90988.0,2566.0
70.0,포스코인터내셔널,27950.0,50.0,+0.18%,5000.0,379896.0,125163.0,9025.0
71.0,TIGER CD금리투자KIS(합성),52310.0,0.0,0.00%,0.0,,,
72.0,LG유플러스,11100.0,30.0,+0.27%,5000.0,139060.0,197748.0,10813.0
73.0,현대제철,35600.0,450.0,-1.25%,5000.0,273406.0,368010.0,16165.0
74.0,삼성중공업,5350.0,30.0,-0.56%,1000.0,59447.0,144917.0,-8544.0
75.0,CJ제일제당,309500.0,3500.0,-1.12%,5000.0,300795.0,300132.0,16647.0
76.0,HD현대,57900.0,1400.0,-2.36%,1000.0,608497.0,655709.0,33870.0
77.0,현대건설,40450.0,150.0,+0.37%,5000.0,212391.0,209117.0,5749.0
78.0,유한양행,58500.0,1000.0,+1.74%,1000.0,17758.0,24727.0,360.0
79.0,한국타이어앤테크놀로지,34450.0,150.0,-0.43%,500.0,83942.0,125814.0,7058.0
80.0,한미약품,329500.0,13000.0,+4.11%,2500.0,13315.0,19246.0,1581.0
81.0,미래에셋증권,6790.0,20.0,-0.29%,5000.0,191608.0,1062133.0,8356.0
82.0,강원랜드,18830.0,200.0,-1.05%,500.0,12707.0,41678.0,2176.0
83.0,현대차2우B,111200.0,200.0,-0.18%,5000.0,,,
84.0,금호석유,135700.0,200.0,-0.15%,5000.0,79756.0,77193.0,11477.0
85.0,SKC,98200.0,400.0,+0.41%,5000.0,31389.0,63931.0,2203.0
86.0,현대로템,33550.0,1100.0,-3.17%,5000.0,31633.0,48239.0,1475.0
87.0,GS,39400.0,100.0,+0.25%,5000.0,287770.0,339222.0,50051.0
88.0,코웨이,49150.0,50.0,+0.10%,500.0,38561.0,43651.0,6774.0
89.0,금양,62000.0,300.0,-0.48%,500.0,2131.0,2828.0,132.0
90.0,KODEX KOFR금리액티브(합성),102885.0,25.0,+0.02%,0.0,,,
91.0,삼성카드,29750.0,0.0,0.00%,5000.0,37946.0,296232.0,8489.0
92.0,현대오토에버,125000.0,5300.0,+4.43%,500.0,27545.0,26194.0,1424.0
93.0,현대해상,37050.0,50.0,+0.14%,500.0,203844.0,522276.0,8080.0
94.0,호텔신라,84100.0,1700.0,-1.98%,5000.0,49220.0,29385.0,783.0
95.0,BGF리테일,189000.0,200.0,+0.11%,1000.0,76158.0,29462.0,2524.0
96.0,씨에스윈드,74800.0,2000.0,+2.75%,500.0,13749.0,17795.0,421.0
97.0,삼성증권,34350.0,450.0,+1.33%,5000.0,134869.0,538483.0,5781.0
98.0,NH투자증권,9230.0,0.0,0.00%,5000.0,115357.0,534283.0,5214.0
99.0,한미사이언스,43050.0,2550.0,+6.30%,500.0,10461.0,11097.0,676.0
100.0,한국금융지주,53400.0,1000.0,-1.84%,5000.0,250281.0,863086.0,5458.0
101.0,쌍용C&E,5900.0,110.0,-1.83%,100.0,19650.0,38743.0,2209.0
102.0,LS,91800.0,100.0,+0.11%,5000.0,174913.0,168140.0,6709.0
103.0,롯데지주,28050.0,0.0,0.00%,200.0,141119.0,221754.0,4898.0
104.0,LG화학우,382000.0,3000.0,+0.79%,5000.0,,,
105.0,OCI,119800.0,0.0,0.00%,5000.0,46713.0,67455.0,9767.0
106.0,현대미포조선,70200.0,900.0,-1.27%,5000.0,37169.0,47482.0,-1091.0
107.0,GS리테일,26700.0,100.0,-0.37%,1000.0,112264.0,98324.0,2451.0
108.0,TIGER 차이나전기차SOLACTIVE,10930.0,10.0,+0.09%,0.0,,,
109.0,롯데에너지머티리얼즈,60400.0,400.0,+0.67%,500.0,7294.0,24303.0,848.0
110.0,DB하이텍,62500.0,1500.0,-2.34%,5000.0,16753.0,21227.0,7687.0
111.0,한진칼,41300.0,50.0,-0.12%,2500.0,2003.0,39151.0,145.0
112.0,팬오션,5150.0,30.0,+0.59%,1000.0,64203.0,75489.0,7896.0
113.0,아모레G,33200.0,0.0,0.00%,500.0,44950.0,76510.0,2719.0
114.0,이마트,97700.0,300.0,+0.31%,5000.0,293324.0,332017.0,1357.0
115.0,KODEX 종합채권(AA-이상)액티브,105995.0,255.0,+0.24%,0.0,,,
116.0,대우조선해양,25200.0,250.0,-0.98%,5000.0,48602.0,122357.0,-16136.0
117.0,한화시스템,14150.0,150.0,-1.05%,5000.0,21880.0,39456.0,240.0
118.0,CJ,90300.0,100.0,-0.11%,5000.0,409249.0,482404.0,21542.0
119.0,현대차우,108500.0,200.0,+0.18%,5000.0,,,
120.0,한전기술,66700.0,0.0,0.00%,200.0,5053.0,8165.0,139.0
121.0,한솔케미칼,221500.0,500.0,-0.23%,5000.0,8855.0,12533.0,1860.0
122.0,한국가스공사,26950.0,50.0,+0.19%,5000.0,517243.0,624250.0,24634.0
123.0,농심,406500.0,1500.0,-0.37%,5000.0,31291.0,30347.0,1122.0
124.0,KG모빌리티,12770.0,100.0,+0.79%,5000.0,34233.0,20019.0,-1120.0
125.0,키움증권,89000.0,1100.0,-1.22%,5000.0,89424.0,480373.0,6564.0
126.0,에스디바이오센서,21800.0,1000.0,+4.81%,500.0,29320.0,32619.0,11466.0
127.0,롯데쇼핑,79600.0,300.0,-0.38%,5000.0,154760.0,317036.0,3862.0
128.0,동원산업,44800.0,200.0,-0.44%,1000.0,90263.0,70612.0,4944.0
129.0,TIGER 미국나스닥100,77300.0,1175.0,-1.50%,0.0,,,
130.0,휠라홀딩스,36250.0,500.0,+1.40%,1000.0,42218.0,48218.0,4351.0
131.0,TIGER 200,32625.0,70.0,-0.21%,0.0,,,
132.0,에스원,57900.0,600.0,-1.03%,500.0,24680.0,20757.0,2041.0
133.0,KODEX 200선물인버스2X,2760.0,15.0,+0.55%,0.0,,,
134.0,제일기획,18980.0,0.0,0.00%,200.0,42534.0,27514.0,3114.0
135.0,BNK금융지주,6630.0,0.0,0.00%,5000.0,75756.0,1369664.0,11589.0
136.0,HD현대인프라코어,10720.0,420.0,+4.08%,1000.0,47561.0,47367.0,3325.0
137.0,한화생명,2445.0,10.0,-0.41%,5000.0,337014.0,1612355.0,7147.0
138.0,한미반도체,21700.0,1500.0,-6.47%,100.0,3276.0,4554.0,1119.0
139.0,HL만도,44750.0,200.0,+0.45%,1000.0,75162.0,58458.0,2481.0
140.0,신세계,208000.0,1000.0,-0.48%,5000.0,78128.0,143484.0,6454.0
141.0,한화,27100.0,200.0,-0.73%,5000.0,622784.0,2111753.0,25161.0
142.0,코스모화학,57600.0,900.0,-1.54%,1000.0,7182.0,8079.0,414.0
143.0,KODEX 200TR,11100.0,40.0,-0.36%,0.0,,,
144.0,영원무역,45150.0,700.0,+1.57%,500.0,39110.0,45136.0,8230.0
145.0,동서,19960.0,90.0,-0.45%,500.0,5565.0,16279.0,392.0
146.0,KCC,223500.0,1500.0,+0.68%,5000.0,67748.0,131185.0,4677.0
147.0,두산퓨얼셀,30300.0,850.0,+2.89%,100.0,3121.0,10269.0,72.0
148.0,LS ELECTRIC,64600.0,700.0,+1.10%,5000.0,33771.0,33228.0,1875.0
149.0,KODEX 레버리지,15645.0,70.0,-0.45%,0.0,,,
150.0,효성첨단소재,423000.0,1000.0,+0.24%,5000.0,38414.0,29347.0,3151.0
151.0,HD현대일렉트릭,51900.0,300.0,+0.58%,5000.0,21045.0,24350.0,1330.0
152.0,대한전선,1492.0,0.0,0.00%,100.0,24505.0,16203.0,482.0
153.0,오뚜기,462500.0,5500.0,-1.18%,5000.0,31833.0,35698.0,1857.0
154.0,CJ대한통운,79500.0,1600.0,+2.05%,5000.0,121307.0,96933.0,4118.0
155.0,TIGER 미국S&P500,13555.0,260.0,-1.88%,0.0,,,
156.0,LIG넥스원,81600.0,100.0,-0.12%,5000.0,22208.0,30127.0,1791.0
157.0,효성티앤씨,411500.0,4500.0,-1.08%,5000.0,88827.0,43199.0,1236.0
158.0,GS건설,20650.0,550.0,+2.74%,5000.0,122992.0,169466.0,5548.0
159.0,LX세미콘,108600.0,400.0,-0.37%,500.0,21193.0,12896.0,3106.0
160.0,덴티움,156800.0,5100.0,+3.36%,500.0,3559.0,6746.0,1257.0
161.0,대우건설,4105.0,15.0,+0.37%,5000.0,104192.0,111404.0,7600.0
162.0,JB금융지주,8290.0,60.0,+0.73%,5000.0,31171.0,598282.0,8258.0
163.0,롯데정밀화학,62500.0,1300.0,+2.12%,5000.0,24638.0,27098.0,4043.0
164.0,한전KPS,35800.0,850.0,+2.43%,200.0,14291.0,15620.0,1306.0
165.0,하이트진로,22500.0,100.0,+0.45%,5000.0,24976.0,33334.0,1906.0
166.0,TIGER 미국테크TOP10 INDXX,11195.0,105.0,-0.93%,0.0,,,
167.0,현대위아,56900.0,100.0,+0.18%,5000.0,82076.0,75465.0,2121.0
168.0,KODEX 23-12 은행채(AA+이상)액티브,10280.0,5.0,-0.05%,0.0,,,
169.0,두산,93000.0,1900.0,+2.09%,5000.0,169958.0,263154.0,11260.0
170.0,TIGER 미국필라델피아반도체나스닥,10500.0,170.0,-1.59%,0.0,,,
171.0,녹십자,126400.0,4400.0,+3.61%,5000.0,17113.0,25255.0,813.0
172.0,현대엘리베이,35900.0,2250.0,+6.69%,5000.0,21293.0,30145.0,430.0
173.0,에스엘,30550.0,550.0,+1.83%,500.0,41745.0,29316.0,1979.0
174.0,효성,66700.0,300.0,+0.45%,5000.0,37193.0,52673.0,649.0
175.0,솔루스첨단소재,39700.0,500.0,-1.24%,100.0,4612.0,14610.0,-452.0
176.0,롯데칠성,149200.0,1600.0,-1.06%,500.0,28417.0,36959.0,2229.0
177.0,HD현대건설기계,69900.0,900.0,+1.30%,5000.0,35156.0,34486.0,1706.0
178.0,DL이앤씨,35450.0,350.0,+1.00%,5000.0,74968.0,89747.0,4970.0
179.0,솔루엠,26750.0,50.0,+0.19%,500.0,16945.0,10343.0,756.0
180.0,대웅제약,114000.0,4100.0,+3.73%,2500.0,12801.0,15633.0,958.0
181.0,금호타이어,4595.0,45.0,-0.97%,5000.0,35592.0,46950.0,231.0
182.0,TIGER MSCI Korea TR,13860.0,70.0,-0.50%,0.0,,,
183.0,후성,13670.0,140.0,-1.01%,500.0,6106.0,9338.0,1054.0
184.0,SK케미칼,74600.0,2600.0,+3.61%,5000.0,18292.0,39457.0,2305.0
185.0,TIGER 2차전지테마,29670.0,35.0,-0.12%,0.0,,,
186.0,KODEX 단기채권PLUS,106515.0,15.0,+0.01%,0.0,,,
187.0,동원시스템즈,42650.0,450.0,+1.07%,5000.0,14370.0,14517.0,918.0
188.0,SK가스,132400.0,4600.0,+3.60%,5000.0,80662.0,58318.0,3905.0
189.0,KBSTAR 종합채권(A-이상)액티브,98330.0,270.0,+0.28%,0.0,,,
190.0,풍산,43100.0,600.0,-1.37%,5000.0,43730.0,33953.0,2316.0
191.0,한국앤컴퍼니,12660.0,50.0,-0.39%,500.0,10959.0,43018.0,2452.0
192.0,현대백화점,51300.0,900.0,-1.72%,5000.0,50141.0,120692.0,3209.0
193.0,LX인터내셔널,30900.0,600.0,+1.98%,5000.0,187595.0,77190.0,9655.0
194.0,KBSTAR 200,32830.0,70.0,-0.21%,0.0,,,
195.0,KODEX 삼성그룹,9005.0,10.0,-0.11%,0.0,,,
196.0,한올바이오파마,22550.0,2200.0,+10.81%,500.0,1100.0,2135.0,15.0
197.0,코오롱인더,42700.0,350.0,-0.81%,5000.0,53675.0,60035.0,2425.0
198.0,GKL,18860.0,140.0,-0.74%,500.0,2621.0,6095.0,-139.0
199.0,DGB금융지주,6890.0,20.0,+0.29%,5000.0,72746.0,910107.0,6072.0
200.0,이수화학,41500.0,0.0,0.00%,5000.0,22076.0,11881.0,360.0
201.0,아이에스동서,37400.0,400.0,+1.08%,500.0,22784.0,37378.0,3451.0
202.0,동국제강,11790.0,100.0,-0.84%,5000.0,85111.0,64512.0,7435.0
203.0,SK네트웍스,4770.0,85.0,+1.81%,2500.0,96664.0,94993.0,1542.0
204.0,KODEX 2차전지산업,28040.0,40.0,-0.14%,0.0,,,
205.0,KODEX Top5PlusTR,16275.0,105.0,-0.64%,0.0,,,
206.0,일진하이솔루스,30400.0,350.0,-1.14%,500.0,1091.0,3425.0,28.0
207.0,종근당,86700.0,2200.0,+2.60%,2500.0,14883.0,11249.0,1099.0
208.0,제주항공,14140.0,130.0,+0.93%,1000.0,7025.0,16636.0,-1775.0
209.0,코리안리,7700.0,160.0,+2.12%,500.0,125791.0,149781.0,1925.0
210.0,한샘,44950.0,250.0,+0.56%,1000.0,20009.0,10997.0,-217.0
211.0,삼아알미늄,71600.0,1400.0,-1.92%,500.0,3121.0,2882.0,226.0
212.0,영풍,563000.0,9000.0,-1.57%,5000.0,44295.0,58719.0,689.0
213.0,대덕전자,20900.0,1700.0,-7.52%,500.0,13162.0,11918.0,2325.0
214.0,오리온홀딩스,16470.0,350.0,-2.08%,500.0,29346.0,51022.0,3998.0
215.0,TIGER TOP10,10770.0,10.0,-0.09%,0.0,,,
216.0,SK오션플랜트,19030.0,30.0,-0.16%,500.0,6918.0,12200.0,719.0
217.0,DL,48250.0,1450.0,-2.92%,5000.0,51708.0,121510.0,2807.0
218.0,TIGER 단기통안채,103305.0,10.0,+0.01%,0.0,,,
219.0,SK리츠,5100.0,135.0,+2.72%,500.0,290.0,31274.0,213.0
220.0,더존비즈온,32900.0,2450.0,+8.05%,500.0,3043.0,8329.0,455.0
221.0,롯데웰푸드,105500.0,700.0,-0.66%,500.0,32033.0,41053.0,1124.0
222.0,TCC스틸,37850.0,1150.0,+3.13%,1000.0,6844.0,5075.0,440.0
223.0,NHN,28100.0,350.0,+1.26%,500.0,21149.0,30252.0,391.0
224.0,율촌화학,39350.0,650.0,+1.68%,500.0,5089.0,6531.0,-46.0
225.0,신풍제약,18360.0,550.0,+3.09%,500.0,2093.0,3615.0,-340.0
226.0,롯데렌탈,26300.0,50.0,+0.19%,5000.0,27389.0,69272.0,3084.0
227.0,아시아나항공,12900.0,40.0,-0.31%,5000.0,62067.0,134553.0,5988.0
228.0,PI첨단소재,32600.0,50.0,-0.15%,500.0,2764.0,4990.0,521.0
229.0,KG스틸,9540.0,250.0,-2.55%,5000.0,38197.0,30515.0,3404.0
230.0,TKG휴켐스,22950.0,300.0,-1.29%,1000.0,12358.0,9414.0,1171.0
231.0,명신산업,17850.0,70.0,+0.39%,500.0,15152.0,9293.0,1269.0
232.0,대한유화,142000.0,900.0,+0.64%,5000.0,22221.0,21958.0,-2146.0
233.0,영원무역홀딩스,66700.0,100.0,+0.15%,500.0,45339.0,54902.0,10022.0
234.0,삼양식품,120500.0,3500.0,-2.82%,5000.0,9090.0,9249.0,904.0
235.0,한국콜마,39500.0,50.0,-0.13%,500.0,18657.0,29333.0,733.0
236.0,하나투어,55800.0,1000.0,+1.82%,500.0,1150.0,4554.0,-1012.0
237.0,롯데리츠,3670.0,35.0,+0.96%,500.0,579.0,23639.0,341.0
238.0,세아베스틸지주,24700.0,1000.0,+4.22%,5000.0,43863.0,38184.0,1279.0
239.0,애경케미칼,18170.0,230.0,-1.25%,500.0,21764.0,12341.0,951.0
240.0,대웅,15110.0,360.0,+2.44%,500.0,16973.0,21589.0,2073.0
241.0,더블유게임즈,47900.0,0.0,0.00%,500.0,6173.0,12356.0,1839.0
242.0,제이알글로벌리츠,4325.0,10.0,-0.23%,1000.0,549.0,20271.0,269.0
243.0,코스맥스,75200.0,400.0,+0.53%,500.0,16001.0,13965.0,531.0
244.0,한일시멘트,12320.0,100.0,-0.81%,500.0,14876.0,24608.0,1180.0
245.0,F&F홀딩스,21700.0,150.0,+0.70%,500.0,18168.0,35951.0,4862.0
246.0,LG전자우,49350.0,350.0,+0.71%,5000.0,,,
247.0,KODEX 코스닥150선물인버스,4140.0,15.0,-0.36%,0.0,,,
248.0,다우기술,18680.0,160.0,-0.85%,500.0,92106.0,492600.0,7187.0
249.0,진에어,15880.0,10.0,-0.06%,1000.0,5934.0,7719.0,-673.0
250.0,KODEX 코스닥150레버리지,10500.0,105.0,+1.01%,0.0,,,
251.0,넥센타이어,8430.0,140.0,-1.63%,500.0,25974.0,39443.0,-543.0
252.0,미원상사,168000.0,100.0,+0.06%,500.0,4382.0,4156.0,770.0
253.0,롯데관광개발,11000.0,280.0,-2.48%,500.0,1837.0,18028.0,-1187.0
254.0,KODEX 단기채권,105905.0,25.0,+0.02%,0.0,,,
255.0,이노션,40400.0,100.0,+0.25%,500.0,17504.0,22901.0,1369.0
256.0,ESR켄달스퀘어리츠,3775.0,15.0,-0.40%,1000.0,490.0,22539.0,225.0
257.0,HDC현대산업개발,12150.0,130.0,+1.08%,5000.0,32983.0,73363.0,1164.0
258.0,해성디에스,46750.0,650.0,-1.37%,5000.0,8394.0,6596.0,2044.0
259.0,삼성 인버스 2X 천연가스 선물 ETN C,78740.0,2630.0,+3.46%,0.0,,,
